 q,iff   0.00000000000000       0.000000000000000
 q,iff   1.25663706143592        0.977000000000000
 q,iff   2.51327412287183        2.79900000000000
 q,iff   3.76991118430775        4.29300000000000
 q,iff   5.02654824574367        5.25700000000000
 q,iff   6.28318530717959        5.82800000000000
 q,iff   7.53982236861550        6.17500000000000
 q,iff   8.79645943005142        6.41100000000000
 q,iff   10.0530964914873        6.59600000000000
 q,iff   11.3097335529233        6.75500000000000
 q,iff   12.5663706143592        6.90100000000000
 q,iff   18.8495559215388        7.46200000000000
 q,iff   25.1327412287183        7.76400000000000
