[0 0 0 0] 2.0
[0 1 1 0] -2.0
[0 0 1 1] 4.0
[0 2 2 0] -2.0
[0 0 2 2] 4.0
[0 3 3 0] -2.0
[0 0 3 3] 4.0
[0 4 4 0] -2.0
[0 0 4 4] 4.0
[0 5 5 0] -2.0
[0 0 5 5] 4.0
[0 6 6 0] -2.0
[0 0 6 6] 4.0
[0 7 7 0] -2.0
[0 0 7 7] 4.0
[0 8 8 0] -2.0
[0 0 8 8] 4.0
[0 9 9 0] -2.0
[0 0 9 9] 4.0
[ 0 10 10  0] -2.0
[ 0  0 10 10] 4.0
[ 0 11 11  0] -2.0
[ 0  0 11 11] 4.0
[ 0 12 12  0] -2.0
[ 0  0 12 12] 4.0
[ 0 13 13  0] -2.0
[ 0  0 13 13] 4.0
[ 0 14 14  0] -2.0
[ 0  0 14 14] 4.0
[ 0 15 15  0] -2.0
[ 0  0 15 15] 4.0
[ 0 16 16  0] -2.0
[ 0  0 16 16] 4.0
[ 0 17 17  0] -2.0
[ 0  0 17 17] 4.0
[ 0 18 18  0] -2.0
[ 0  0 18 18] 4.0
[ 0 19 19  0] -2.0
[ 0  0 19 19] 4.0
[ 0 20 20  0] -2.0
[ 0  0 20 20] 4.0
[ 0 21 21  0] -2.0
[ 0  0 21 21] 4.0
[ 0 22 22  0] -2.0
[ 0  0 22 22] 4.0
[ 0 23 23  0] -2.0
[ 0  0 23 23] 4.0
[ 0 24 24  0] -2.0
[ 0  0 24 24] 4.0
[ 0 25 25  0] -2.0
[ 0  0 25 25] 4.0
[ 0 26 26  0] -2.0
[ 0  0 26 26] 4.0
[ 0 27 27  0] -2.0
[ 0  0 27 27] 4.0
[ 0 28 28  0] -2.0
[ 0  0 28 28] 4.0
[ 0 29 29  0] -2.0
[ 0  0 29 29] 4.0
[ 0 30 30  0] -2.0
[ 0  0 30 30] 4.0
[ 0 31 31  0] -2.0
[ 0  0 31 31] 4.0
[ 0 32 32  0] -2.0
[ 0  0 32 32] 4.0
[ 0 33 33  0] -2.0
[ 0  0 33 33] 4.0
[ 0 34 34  0] -2.0
[ 0  0 34 34] 4.0
[1 1 0 0] 4.0
[1 0 0 1] -2.0
[1 1 1 1] 2.0
[1 2 2 1] -2.0
[1 1 2 2] 4.0
[1 3 3 1] -2.0
[1 1 3 3] 4.0
[1 4 4 1] -2.0
[1 1 4 4] 4.0
[1 5 5 1] -2.0
[1 1 5 5] 4.0
[1 6 6 1] -2.0
[1 1 6 6] 4.0
[1 7 7 1] -2.0
[1 1 7 7] 4.0
[1 8 8 1] -2.0
[1 1 8 8] 4.0
[1 9 9 1] -2.0
[1 1 9 9] 4.0
[ 1 10 10  1] -2.0
[ 1  1 10 10] 4.0
[ 1 11 11  1] -2.0
[ 1  1 11 11] 4.0
[ 1 12 12  1] -2.0
[ 1  1 12 12] 4.0
[ 1 13 13  1] -2.0
[ 1  1 13 13] 4.0
[ 1 14 14  1] -2.0
[ 1  1 14 14] 4.0
[ 1 15 15  1] -2.0
[ 1  1 15 15] 4.0
[ 1 16 16  1] -2.0
[ 1  1 16 16] 4.0
[ 1 17 17  1] -2.0
[ 1  1 17 17] 4.0
[ 1 18 18  1] -2.0
[ 1  1 18 18] 4.0
[ 1 19 19  1] -2.0
[ 1  1 19 19] 4.0
[ 1 20 20  1] -2.0
[ 1  1 20 20] 4.0
[ 1 21 21  1] -2.0
[ 1  1 21 21] 4.0
[ 1 22 22  1] -2.0
[ 1  1 22 22] 4.0
[ 1 23 23  1] -2.0
[ 1  1 23 23] 4.0
[ 1 24 24  1] -2.0
[ 1  1 24 24] 4.0
[ 1 25 25  1] -2.0
[ 1  1 25 25] 4.0
[ 1 26 26  1] -2.0
[ 1  1 26 26] 4.0
[ 1 27 27  1] -2.0
[ 1  1 27 27] 4.0
[ 1 28 28  1] -2.0
[ 1  1 28 28] 4.0
[ 1 29 29  1] -2.0
[ 1  1 29 29] 4.0
[ 1 30 30  1] -2.0
[ 1  1 30 30] 4.0
[ 1 31 31  1] -2.0
[ 1  1 31 31] 4.0
[ 1 32 32  1] -2.0
[ 1  1 32 32] 4.0
[ 1 33 33  1] -2.0
[ 1  1 33 33] 4.0
[ 1 34 34  1] -2.0
[ 1  1 34 34] 4.0
[2 2 0 0] 4.0
[2 0 0 2] -2.0
[2 2 1 1] 4.0
[2 1 1 2] -2.0
[2 2 2 2] 2.0
[2 3 3 2] -2.0
[2 2 3 3] 4.0
[2 4 4 2] -2.0
[2 2 4 4] 4.0
[2 5 5 2] -2.0
[2 2 5 5] 4.0
[2 6 6 2] -2.0
[2 2 6 6] 4.0
[2 7 7 2] -2.0
[2 2 7 7] 4.0
[2 8 8 2] -2.0
[2 2 8 8] 4.0
[2 9 9 2] -2.0
[2 2 9 9] 4.0
[ 2 10 10  2] -2.0
[ 2  2 10 10] 4.0
[ 2 11 11  2] -2.0
[ 2  2 11 11] 4.0
[ 2 12 12  2] -2.0
[ 2  2 12 12] 4.0
[ 2 13 13  2] -2.0
[ 2  2 13 13] 4.0
[ 2 14 14  2] -2.0
[ 2  2 14 14] 4.0
[ 2 15 15  2] -2.0
[ 2  2 15 15] 4.0
[ 2 16 16  2] -2.0
[ 2  2 16 16] 4.0
[ 2 17 17  2] -2.0
[ 2  2 17 17] 4.0
[ 2 18 18  2] -2.0
[ 2  2 18 18] 4.0
[ 2 19 19  2] -2.0
[ 2  2 19 19] 4.0
[ 2 20 20  2] -2.0
[ 2  2 20 20] 4.0
[ 2 21 21  2] -2.0
[ 2  2 21 21] 4.0
[ 2 22 22  2] -2.0
[ 2  2 22 22] 4.0
[ 2 23 23  2] -2.0
[ 2  2 23 23] 4.0
[ 2 24 24  2] -2.0
[ 2  2 24 24] 4.0
[ 2 25 25  2] -2.0
[ 2  2 25 25] 4.0
[ 2 26 26  2] -2.0
[ 2  2 26 26] 4.0
[ 2 27 27  2] -2.0
[ 2  2 27 27] 4.0
[ 2 28 28  2] -2.0
[ 2  2 28 28] 4.0
[ 2 29 29  2] -2.0
[ 2  2 29 29] 4.0
[ 2 30 30  2] -2.0
[ 2  2 30 30] 4.0
[ 2 31 31  2] -2.0
[ 2  2 31 31] 4.0
[ 2 32 32  2] -2.0
[ 2  2 32 32] 4.0
[ 2 33 33  2] -2.0
[ 2  2 33 33] 4.0
[ 2 34 34  2] -2.0
[ 2  2 34 34] 4.0
[3 3 0 0] 4.0
[3 0 0 3] -2.0
[3 3 1 1] 4.0
[3 1 1 3] -2.0
[3 3 2 2] 4.0
[3 2 2 3] -2.0
[3 3 3 3] 2.0
[3 4 4 3] -2.0
[3 3 4 4] 4.0
[3 5 5 3] -2.0
[3 3 5 5] 4.0
[3 6 6 3] -2.0
[3 3 6 6] 4.0
[3 7 7 3] -2.0
[3 3 7 7] 4.0
[3 8 8 3] -2.0
[3 3 8 8] 4.0
[3 9 9 3] -2.0
[3 3 9 9] 4.0
[ 3 10 10  3] -2.0
[ 3  3 10 10] 4.0
[ 3 11 11  3] -2.0
[ 3  3 11 11] 4.0
[ 3 12 12  3] -2.0
[ 3  3 12 12] 4.0
[ 3 13 13  3] -2.0
[ 3  3 13 13] 4.0
[ 3 14 14  3] -2.0
[ 3  3 14 14] 4.0
[ 3 15 15  3] -2.0
[ 3  3 15 15] 4.0
[ 3 16 16  3] -2.0
[ 3  3 16 16] 4.0
[ 3 17 17  3] -2.0
[ 3  3 17 17] 4.0
[ 3 18 18  3] -2.0
[ 3  3 18 18] 4.0
[ 3 19 19  3] -2.0
[ 3  3 19 19] 4.0
[ 3 20 20  3] -2.0
[ 3  3 20 20] 4.0
[ 3 21 21  3] -2.0
[ 3  3 21 21] 4.0
[ 3 22 22  3] -2.0
[ 3  3 22 22] 4.0
[ 3 23 23  3] -2.0
[ 3  3 23 23] 4.0
[ 3 24 24  3] -2.0
[ 3  3 24 24] 4.0
[ 3 25 25  3] -2.0
[ 3  3 25 25] 4.0
[ 3 26 26  3] -2.0
[ 3  3 26 26] 4.0
[ 3 27 27  3] -2.0
[ 3  3 27 27] 4.0
[ 3 28 28  3] -2.0
[ 3  3 28 28] 4.0
[ 3 29 29  3] -2.0
[ 3  3 29 29] 4.0
[ 3 30 30  3] -2.0
[ 3  3 30 30] 4.0
[ 3 31 31  3] -2.0
[ 3  3 31 31] 4.0
[ 3 32 32  3] -2.0
[ 3  3 32 32] 4.0
[ 3 33 33  3] -2.0
[ 3  3 33 33] 4.0
[ 3 34 34  3] -2.0
[ 3  3 34 34] 4.0
[4 4 0 0] 4.0
[4 0 0 4] -2.0
[4 4 1 1] 4.0
[4 1 1 4] -2.0
[4 4 2 2] 4.0
[4 2 2 4] -2.0
[4 4 3 3] 4.0
[4 3 3 4] -2.0
[4 4 4 4] 2.0
[4 5 5 4] -2.0
[4 4 5 5] 4.0
[4 6 6 4] -2.0
[4 4 6 6] 4.0
[4 7 7 4] -2.0
[4 4 7 7] 4.0
[4 8 8 4] -2.0
[4 4 8 8] 4.0
[4 9 9 4] -2.0
[4 4 9 9] 4.0
[ 4 10 10  4] -2.0
[ 4  4 10 10] 4.0
[ 4 11 11  4] -2.0
[ 4  4 11 11] 4.0
[ 4 12 12  4] -2.0
[ 4  4 12 12] 4.0
[ 4 13 13  4] -2.0
[ 4  4 13 13] 4.0
[ 4 14 14  4] -2.0
[ 4  4 14 14] 4.0
[ 4 15 15  4] -2.0
[ 4  4 15 15] 4.0
[ 4 16 16  4] -2.0
[ 4  4 16 16] 4.0
[ 4 17 17  4] -2.0
[ 4  4 17 17] 4.0
[ 4 18 18  4] -2.0
[ 4  4 18 18] 4.0
[ 4 19 19  4] -2.0
[ 4  4 19 19] 4.0
[ 4 20 20  4] -2.0
[ 4  4 20 20] 4.0
[ 4 21 21  4] -2.0
[ 4  4 21 21] 4.0
[ 4 22 22  4] -2.0
[ 4  4 22 22] 4.0
[ 4 23 23  4] -2.0
[ 4  4 23 23] 4.0
[ 4 24 24  4] -2.0
[ 4  4 24 24] 4.0
[ 4 25 25  4] -2.0
[ 4  4 25 25] 4.0
[ 4 26 26  4] -2.0
[ 4  4 26 26] 4.0
[ 4 27 27  4] -2.0
[ 4  4 27 27] 4.0
[ 4 28 28  4] -2.0
[ 4  4 28 28] 4.0
[ 4 29 29  4] -2.0
[ 4  4 29 29] 4.0
[ 4 30 30  4] -2.0
[ 4  4 30 30] 4.0
[ 4 31 31  4] -2.0
[ 4  4 31 31] 4.0
[ 4 32 32  4] -2.0
[ 4  4 32 32] 4.0
[ 4 33 33  4] -2.0
[ 4  4 33 33] 4.0
[ 4 34 34  4] -2.0
[ 4  4 34 34] 4.0
[5 5 0 0] 4.0
[5 0 0 5] -2.0
[5 5 1 1] 4.0
[5 1 1 5] -2.0
[5 5 2 2] 4.0
[5 2 2 5] -2.0
[5 5 3 3] 4.0
[5 3 3 5] -2.0
[5 5 4 4] 4.0
[5 4 4 5] -2.0
[5 5 5 5] 2.0
[5 6 6 5] -2.0
[5 5 6 6] 4.0
[5 7 7 5] -2.0
[5 5 7 7] 4.0
[5 8 8 5] -2.0
[5 5 8 8] 4.0
[5 9 9 5] -2.0
[5 5 9 9] 4.0
[ 5 10 10  5] -2.0
[ 5  5 10 10] 4.0
[ 5 11 11  5] -2.0
[ 5  5 11 11] 4.0
[ 5 12 12  5] -2.0
[ 5  5 12 12] 4.0
[ 5 13 13  5] -2.0
[ 5  5 13 13] 4.0
[ 5 14 14  5] -2.0
[ 5  5 14 14] 4.0
[ 5 15 15  5] -2.0
[ 5  5 15 15] 4.0
[ 5 16 16  5] -2.0
[ 5  5 16 16] 4.0
[ 5 17 17  5] -2.0
[ 5  5 17 17] 4.0
[ 5 18 18  5] -2.0
[ 5  5 18 18] 4.0
[ 5 19 19  5] -2.0
[ 5  5 19 19] 4.0
[ 5 20 20  5] -2.0
[ 5  5 20 20] 4.0
[ 5 21 21  5] -2.0
[ 5  5 21 21] 4.0
[ 5 22 22  5] -2.0
[ 5  5 22 22] 4.0
[ 5 23 23  5] -2.0
[ 5  5 23 23] 4.0
[ 5 24 24  5] -2.0
[ 5  5 24 24] 4.0
[ 5 25 25  5] -2.0
[ 5  5 25 25] 4.0
[ 5 26 26  5] -2.0
[ 5  5 26 26] 4.0
[ 5 27 27  5] -2.0
[ 5  5 27 27] 4.0
